acc_time,acc_seconds_elapsed,acc_z,acc_y,acc_x,gyro_time,gyro_seconds_elapsed,gyro_z,gyro_y,gyro_x,activity,session
1761391670433885400,5.180885498046875,9.5889465757519,-0.2497009562071412,-3.3066429603055116,1761391670433885400,5.180885498046875,-0.2129866033792495,1.1956157684326172,1.5178841352462769,Jumping,Jumping_11
1761391670443951400,5.190951416015625,11.03792548688054,0.1682406887524761,-3.949742418906093,1761391670443951400,5.190951416015625,-0.3439945876598358,1.4959018230438232,1.4291387796401978,Jumping,Jumping_11
1761391670454017300,5.201017333984375,12.78213412953019,0.8996237580217421,-3.78922569373548,1761391670454017300,5.201017333984375,-0.3060690462589264,1.70700204372406,1.2235376834869385,Jumping,Jumping_11
1761391670464083500,5.21108349609375,14.290075517237186,1.6058536265350878,-3.1471237217396495,1761391670464083500,5.21108349609375,-0.1364130973815918,1.7670100927352903,1.0140997171401978,Jumping,Jumping_11
1761391670474148600,5.221148681640625,15.242925692403317,2.216016153434664,-2.9123659945771094,1761391670474148600,5.221148681640625,0.0629993453621864,1.6195636987686155,0.8929750919342041,Jumping,Jumping_11
1761391670484214500,5.231214599609375,15.635563074231149,2.268224333447218,-3.3321137939095493,1761391670484214500,5.231214599609375,0.2341513037681579,1.2509746551513672,0.8386876583099365,Jumping,Jumping_11
1761391670494280700,5.24128076171875,16.123966184377668,2.1222548968061803,-3.969058529272675,1761391670494280700,5.24128076171875,0.3277928531169891,0.7855361104011536,0.7750133872032166,Jumping,Jumping_11
1761391670504346600,5.2513466796875,16.444085442483424,1.6334940592631697,-4.628624554027617,1761391670504346600,5.2513466796875,0.3374410569667816,0.3158326148986816,0.6862046718597412,Jumping,Jumping_11
1761391670514412500,5.26141259765625,16.534387060177327,0.8824040354125201,-5.2715819738090035,1761391670514412500,5.26141259765625,0.2527376115322113,-0.1066581681370735,0.5210785865783691,Jumping,Jumping_11
1761391670524479700,5.271479736328125,16.50973660304546,0.231560976947844,-5.932028580790758,1761391670524479700,5.271479736328125,0.0621452666819095,-0.3243309259414673,0.2475316673517227,Jumping,Jumping_11
